Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-optimized-45x2MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
-3293278.250	-888075.188	-70312.500
-1813355.000	-1049103.875	-72265.625
-1753521.000	-843378.250	-74218.750
-3452457.250	-1206295.375	-76171.875
-1270449.125	-56339.086	-78125.000
-1690085.000	-2185176.000	-80078.125
-2509079.500	-2845848.250	-82031.250
-1175569.750	835057.938	-83984.375
-5844069.000	-3555881.500	-85937.500
-3095611.250	114868.961	-87890.625
-3249893.500	611312.000	-89843.750
-1059573.375	-1771220.375	-91796.875
-4246374.000	1143612.500	-93750.000
-1757846.250	-119936.977	-95703.125
-281575.219	-1749526.000	-97656.250
-3140966.250	-140888.813	-99609.375
-1613534.250	586245.250	-101562.500
-3126553.250	-328587.531	-103515.625
-1169331.125	-1616098.750	-105468.750
-2948809.250	2316915.500	-107421.875
-4288362.000	-93755.289	-109375.000
527363.063	89508.227	-111328.125
-1717175.750	1724644.250	-113281.250
-245538.234	-1385603.000	-115234.375
-1433607.375	577378.250	-117187.500
-3212505.500	-820882.000	-119140.625
-1271253.125	29859.352	-121093.750
-1379942.875	385655.313	-123046.875
-131722.063	-942476.375	-125000.000
154130.844	-405154.063	-126953.125
-2962609.500	-703410.250	-128906.250
-1736332.500	2432276.750	-130859.375
-1256650.250	1124500.875	-132812.500
-2017513.500	622148.938	-134765.625
-762962.000	512200.656	-136718.750
-339909.156	1870622.000	-138671.875
-1910398.125	694637.750	-140625.000
358020.344	1869807.500	-142578.125
-1199647.250	464170.875	-144531.250
-2027977.125	-1560507.625	-146484.375
-687186.313	1644260.125	-148437.500
-3224342.500	1137854.625	-150390.625
-755206.813	-216112.328	-152343.750
293397.875	-1123686.000	-154296.875
-2045387.250	1322341.250	-156250.000
-1004824.875	650594.813	-158203.125
-1491815.000	-1057877.750	-160156.250
-204082.766	-2044307.250	-162109.375
-3477902.500	79951.148	-164062.500
-951000.563	699447.375	-166015.625
-1249504.625	300504.813	-167968.750
-868587.000	-1380658.500	-169921.875
-1752658.875	-926683.250	-171875.000
1045835.688	-1862959.000	-173828.125
-2712983.500	-347916.344	-175781.250
-2183820.000	-765148.938	-177734.375
-2172686.000	1778580.000	-179687.500
-1950426.750	-1157627.125	-181640.625
-1012711.250	-762193.188	-183593.750
-3231387.500	-2200731.250	-185546.875
-1005361.563	1613756.250	-187500.000
-432930.375	431524.625	-189453.125
-671197.063	-642972.188	-191406.250
-561601.188	290612.406	-193359.375
-4100919.500	-766475.438	-195312.500
-1434148.250	190628.906	-197265.625
-1107906.250	-6588447.500	-199218.750
-782597.500	1711937.250	-201171.875
1097028.125	-778977.813	-203125.000
-2705028.500	1265523.250	-205078.125
-1829822.625	-335831.875	-207031.250
-1298542.125	-1708879.125	-208984.375
342239.688	-1425301.000	-210937.500
-2286545.750	-1048407.438	-212890.625
-1329456.875	251169.984	-214843.750
-3497169.000	-95951.563	-216796.875
-2547417.250	1267429.500	-218750.000
-2402907.250	493096.656	-220703.125
-734621.688	1279659.625	-222656.250
-1558936.375	1979174.875	-224609.375
1149327.750	-16766.916	-226562.500
413943.125	2359756.750	-228515.625
-1413520.625	4980554.500	-230468.750
-2615242.750	-1049374.750	-232421.875
955007.063	893618.938	-234375.000
1712516.375	-3365981.000	-236328.125
-458708.656	2054993.750	-238281.250
768998.438	-1421881.375	-240234.375
-1059019.625	-974263.000	-242187.500
-1374349.625	-307898.344	-244140.625
-1744183.500	1128485.875	-246093.750
-714098.625	-1804411.375	-248046.875
-361314.594	-1801411.750	-250000.000
-483938.219	52530.254	-251953.125
-446229.625	-20258.609	-253906.250
2183506.000	469786.188	-255859.375
1181029.500	942648.250	-257812.500
-2207050.000	1028642.375	-259765.625
253308.266	2935832.250	-261718.750
-137444.578	-36278.820	-263671.875
3564188.750	634133.375	-265625.000
462101.344	2226137.500	-267578.125
-219316.234	-1124065.000	-269531.250
3051362.250	-502075.500	-271484.375
65901.641	13937.074	-273437.500
-2232781.250	-264409.844	-275390.625
-874667.375	1378190.750	-277343.750
-602545.500	1065578.750	-279296.875
279597.094	1246523.125	-281250.000
-1929358.500	2126082.000	-283203.125
-581522.250	1639825.125	-285156.250
1064867.125	-2040640.875	-287109.375
851144.438	623527.125	-289062.500
-226302.797	-1081744.625	-291015.625
-23903.215	466599.250	-292968.750
-109651.398	3001220.000	-294921.875
3970033.250	2514980.250	-296875.000
5813663.000	3004091.750	-298828.125
-9099939.000	-5507271.000	-300781.250
-3643668.250	268228.406	-302734.375
-2340223.250	-2968512.750	-304687.500
-1137226.250	1624740.125	-306640.625
-3527641.000	-1122384.875	-308593.750
-1508138.125	-1797615.500	-310546.875
-1663294.875	166322.297	-312500.000
-2616477.500	-914772.688	-314453.125
-679117.688	-2522224.500	-316406.250
-1339698.125	-1556241.000	-318359.375
3293061.000	2391512.750	-320312.500
988420.875	668121.875	-322265.625
-278808.313	-1095319.375	-324218.750
2287111.500	-1095532.750	-326171.875
867432.250	1239856.125	-328125.000
2870704.250	-35976.000	-330078.125
269683.813	-502272.438	-332031.250
1370307.500	1477567.375	-333984.375
134627.125	-713210.938	-335937.500
-689803.875	-279984.750	-337890.625
623560.688	-554760.375	-339843.750
1138587.500	-2260010.000	-341796.875
-146729.609	47188.086	-343750.000
-366027.094	1705730.375	-345703.125
-1445516.750	-2323425.250	-347656.250
-1379901.750	-1115445.500	-349609.375
-1596659.875	518339.969	-351562.500
1588879.000	638275.500	-353515.625
-1445624.750	-2684122.250	-355468.750
-342390.656	-572110.875	-357421.875
6511.746	-1405249.125	-359375.000
-164714.516	-496935.000	-361328.125
-1306195.125	-178275.313	-363281.250
-2011000.750	-616236.938	-365234.375
-2650758.500	-809904.188	-367187.500
902051.875	-609814.063	-369140.625
243235.531	436088.125	-371093.750
-285222.313	-1891407.875	-373046.875
1043988.875	491299.906	-375000.000
1236200.500	-1403794.125	-376953.125
-37707.973	-5553.882	-378906.250
-191164.453	-298767.469	-380859.375
-930212.188	-2246250.500	-382812.500
815473.688	-738698.250	-384765.625
506405.656	1050588.250	-386718.750
1601828.000	-2157439.750	-388671.875
435820.313	-1189167.625	-390625.000
-212164.031	-1841427.625	-392578.125
-1014258.063	-794840.688	-394531.250
-282816.906	-2383483.750	-396484.375
-964596.875	-6381521.000	-398437.500
104364.008	16818034.000	-400390.625
-823130.813	2581429.000	-402343.750
-1548602.000	2224004.000	-404296.875
-180485.297	1214682.125	-406250.000
644051.438	1247520.500	-408203.125
-849033.188	-541823.438	-410156.250
-959334.938	1104759.250	-412109.375
764105.938	1614727.250	-414062.500
125672.141	769915.063	-416015.625
-716287.313	3326851.750	-417968.750
167044.422	1252261.125	-419921.875
164969.781	-1242892.375	-421875.000
169652.234	967300.688	-423828.125
760996.438	1032599.000	-425781.250
-760267.750	2606827.500	-427734.375
-925337.625	-482184.781	-429687.500
-1000454.063	62260.023	-431640.625
-1335466.250	745666.188	-433593.750
-1700455.625	1361728.500	-435546.875
-313262.781	1307762.625	-437500.000
1480876.375	1982104.125	-439453.125
538058.063	1455634.625	-441406.250
178642.828	687632.188	-443359.375
