Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\export2\Spectrum-own_coil-45x474MHz_100000scans.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	usec
30119.920	-1676647.250	284.000
272035.344	795532.000	285.000
2590595.250	-174474.969	286.000
-1704492.000	-3254320.000	287.000
3340612.000	-5989546.500	288.000
1293339.250	2245150.500	289.000
1419292.875	-67405.750	290.000
-313484.750	-656094.125	291.000
379348.375	-3637147.250	292.000
-2891961.250	6231802.500	293.000
-576658.625	3769709.250	294.000
-1656163.875	-1480040.000	295.000
174896.406	1857410.375	296.000
1625759.000	-518971.250	297.000
824587.938	-2748033.250	298.000
1383996.375	-1966884.000	299.000
1928985.000	-1387225.375	300.000
4135625.000	-1817698.250	301.000
1364866.250	-3735661.000	302.000
-1551737.875	1945559.250	303.000
-6139409.500	-3962902.750	304.000
-3978913.750	7870872.000	305.000
3824909.750	-1223984.125	306.000
-2117907.000	-926692.500	307.000
1846333.750	3635939.750	308.000
2371337.750	7053134.000	309.000
516447.281	-1655561.750	310.000
2189078.000	1447166.375	311.000
704701.563	3042864.750	312.000
3778669.250	4352262.000	313.000
2711211.250	390353.156	314.000
-4472297.500	-1688000.875	315.000
1120939.125	5395765.000	316.000
-2225706.250	-24082.818	317.000
-632320.250	3348336.500	318.000
1929655.500	421285.188	319.000
2320020.250	-1640812.625	320.000
799022.313	3355903.500	321.000
1957387.000	-2268630.250	322.000
302798.625	4460197.000	323.000
2278987.000	4830810.500	324.000
8031396.000	2752186.750	325.000
3940944.250	-4902942.000	326.000
-2225602.750	-6413822.000	327.000
-3343723.000	-337506.469	328.000
113263.211	4424840.000	329.000
4303790.500	-1604342.875	330.000
2616526.250	790238.125	331.000
-5246235.000	-2301986.750	332.000
2709209.000	1982241.750	333.000
52293.020	-276650.500	334.000
6789159.000	818487.563	335.000
955589.375	-5198245.000	336.000
-1071095.375	-1642910.750	337.000
6966330.500	-1623443.625	338.000
658235.500	-8254655.500	339.000
2661362.500	-3422850.750	340.000
-603301.313	4222499.500	341.000
-4086937.000	-3813623.750	342.000
-4980244.000	2388551.250	343.000
-145093.797	-1270905.750	344.000
-3173884.500	914529.813	345.000
3168000.500	841548.250	346.000
-3708399.250	3892830.000	347.000
1253005.500	1608737.250	348.000
3331198.000	7286699.000	349.000
-612110.688	1130328.500	350.000
2313220.000	-3168036.250	351.000
-3347694.500	1248986.750	352.000
5194182.000	3791453.500	353.000
-5190880.000	-4264833.000	354.000
-1114302.375	7794115.500	355.000
1126714.875	2253769.000	356.000
-79022.008	829795.813	357.000
2848760.750	3805030.250	358.000
-4963158.500	3482905.250	359.000
1354271.000	-673378.813	360.000
-3974096.750	-1489876.250	361.000
2666274.250	508431.500	362.000
84705.555	6723211.500	363.000
1879691.125	-1112895.750	364.000
625981.625	517914.688	365.000
1365660.000	-5659105.500	366.000
-8867.826	3655725.500	367.000
-1428972.750	2961307.250	368.000
-3226076.000	2603638.500	369.000
-1884935.750	1672558.875	370.000
3601004.750	3370759.000	371.000
5766764.500	1310375.750	372.000
4319763.500	-2192749.750	373.000
-1217459.500	-2443288.750	374.000
-2145794.750	-5419035.500	375.000
-2942511.750	4964019.000	376.000
140412.797	3917498.500	377.000
-4335481.500	-435818.969	378.000
-407834.250	5235200.000	379.000
734766.000	-2732319.250	380.000
-1603987.500	-2993877.000	381.000
2566256.000	-2204401.250	382.000
-2934573.500	-7053675.500	383.000
-2956983.250	7100269.000	384.000
3263140.500	347489.406	385.000
-3992455.750	5226728.000	386.000
3760806.000	1444759.500	387.000
-2072986.000	-59337.836	388.000
-1371446.875	-3155482.250	389.000
2202961.000	-2455424.250	390.000
1895243.125	1094861.500	391.000
4763708.500	-999622.063	392.000
-3327916.250	64169.230	393.000
-6079231.000	-458152.094	394.000
-4964222.500	5236930.000	395.000
5838462.500	2777671.750	396.000
-3159574.250	1763794.875	397.000
2618970.500	4474621.000	398.000
562444.063	636457.875	399.000
-500904.531	134510.453	400.000
4729855.500	1614142.625	401.000
6657956.000	4327081.500	402.000
-1218457.875	-2309418.750	403.000
4556808.500	-2409658.500	404.000
-145943.828	-4216185.000	405.000
-407783.875	1703157.125	406.000
-4844136.500	-703799.813	407.000
-578837.625	3418677.000	408.000
5296523.000	-4705816.500	409.000
1561338.750	-2340815.500	410.000
-104428.180	-3461897.500	411.000
4707052.000	829231.000	412.000
-4338861.500	-1853269.625	413.000
3394627.250	-1656858.250	414.000
42638.891	-380374.844	415.000
3548645.250	-6641113.500	416.000
1790308.375	-626547.125	417.000
15499.604	3512525.750	418.000
1521669.000	-690085.625	419.000
-5271533.500	-1935320.125	420.000
-6008983.500	-5101153.500	421.000
3368543.250	1038796.000	422.000
-4336879.500	-2785251.000	423.000
386489.094	3782329.750	424.000
4201415.000	8318670.000	425.000
-303185.563	-1537871.625	426.000
1988460.625	513002.781	427.000
1467446.000	-3461888.000	428.000
-443774.906	-3287286.000	429.000
-1034380.625	137699.328	430.000
-3057027.250	1187482.875	431.000
-1222779.250	511121.000	432.000
-5187040.500	1195776.625	433.000
-752874.063	6414276.000	434.000
-481295.219	-3522462.250	435.000
876026.688	342352.469	436.000
2312189.750	3859392.250	437.000
3156646.500	5592568.000	438.000
2358735.750	216995.422	439.000
1540927.625	2036138.750	440.000
3688496.000	-4102519.250	441.000
433870.563	-3665492.750	442.000
802215.375	-4219536.000	443.000
5588903.000	2754630.000	444.000
3926538.750	973582.688	445.000
1088267.750	2392515.500	446.000
4190500.750	3688947.000	447.000
-1167257.375	1149646.000	448.000
4192933.250	3200002.750	449.000
1821548.875	4250310.000	450.000
6850276.500	-3824015.750	451.000
1126323.375	-2881743.000	452.000
-2374457.750	-1258634.500	453.000
2210072.000	-801372.688	454.000
1208723.125	-4211316.000	455.000
2495894.500	772616.125	456.000
-2087627.375	-2233528.000	457.000
2108382.250	-1619424.375	458.000
-1360847.625	-1164293.375	459.000
-1213531.625	182010.516	460.000
-3393244.250	1326878.250	461.000
199427.906	5531455.500	462.000
3146582.000	1064880.500	463.000
-407219.969	-1147239.500	464.000
-3925378.000	4577373.500	465.000
2044498.500	-285938.875	466.000
1937899.500	1432569.625	467.000
-4612406.000	-3901790.750	468.000
-7252235.500	1960453.125	469.000
-873641.000	2012214.500	470.000
-4395513.000	-71533.930	471.000
6599917.000	2450826.500	472.000
991401.500	-2746372.000	473.000
-1952300.000	214062.516	474.000
-5047201.500	1160124.000	475.000
1459711.625	1970722.000	476.000
5104909.000	5360243.500	477.000
83374.672	3641655.250	478.000
2531255.500	-2268076.500	479.000
1640914.625	-60307.723	480.000
2481856.250	-326006.313	481.000
1298487.000	199806.094	482.000
-1197429.875	1588524.750	483.000
3509056.000	3344229.250	484.000
-966328.938	3396527.000	485.000
3987239.000	6647393.500	486.000
788024.000	283111.500	487.000
-1373114.375	4772790.000	488.000
970727.063	-1899992.750	489.000
4204731.000	-1827382.000	490.000
-188949.563	677432.313	491.000
-2035343.000	-3927182.000	492.000
