Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-own_coil-45x474MHz_32000scans.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	usec
-144917.859	-1234364.875	339.000
2892389.250	-315028.969	340.000
149096.828	276771.656	341.000
-1057981.250	-1999571.875	342.000
594863.063	1937857.375	343.000
-3613877.750	-1606482.250	344.000
-1014600.625	1741776.875	345.000
1831720.625	-509080.094	346.000
1889247.875	-2093575.375	347.000
432280.719	-1281506.000	348.000
374815.813	1351953.750	349.000
4133363.000	1410161.250	350.000
2007162.875	2402789.000	351.000
89937.000	2186811.000	352.000
-4267709.000	-1945510.000	353.000
-2875891.250	301328.813	354.000
-1550236.000	4705087.500	355.000
688681.875	4536284.000	356.000
-1457655.250	-1079469.625	357.000
-600721.875	2389380.000	358.000
1537185.250	1853914.500	359.000
1284909.125	1237303.875	360.000
-1347229.625	-711369.938	361.000
-372725.000	-4065514.000	362.000
888870.250	-1498685.750	363.000
-1230496.125	-2317916.750	364.000
1865079.000	-1480672.000	365.000
2404689.000	-2369446.500	366.000
-1430096.625	-534587.750	367.000
-1753620.500	1900937.000	368.000
-3615522.000	-502775.719	369.000
1230556.125	1856845.875	370.000
1499801.750	-400429.000	371.000
-733179.125	440496.594	372.000
1112688.750	609041.875	373.000
472512.781	166190.016	374.000
2949858.250	-3659874.750	375.000
83375.758	-466505.813	376.000
1507881.125	1583169.250	377.000
715323.250	-426906.688	378.000
-2728936.000	-975477.375	379.000
834307.938	-462761.781	380.000
1489021.000	996807.375	381.000
1645916.750	-3812445.250	382.000
20422.127	121166.461	383.000
459353.938	-745390.063	384.000
-1973164.625	2689842.750	385.000
-3576887.500	3395520.250	386.000
4579600.500	927517.250	387.000
987056.188	1157964.625	388.000
2948806.500	-2302491.750	389.000
-1510693.875	-2684104.000	390.000
-1088939.000	-1111455.125	391.000
-279430.031	710794.938	392.000
1255695.875	777327.000	393.000
509426.844	1121905.875	394.000
-891818.938	658093.688	395.000
-2315353.000	-401357.125	396.000
2009712.000	845965.563	397.000
-494871.906	426805.219	398.000
618593.875	-2267426.750	399.000
-1975012.125	3552275.750	400.000
-1896838.250	1708383.750	401.000
1114492.750	654580.125	402.000
804197.063	-1065681.875	403.000
847483.875	-1779335.000	404.000
283302.063	958449.000	405.000
-909000.250	3125035.750	406.000
2829118.000	787462.563	407.000
-2042314.000	-1630544.875	408.000
1779591.750	-15654.813	409.000
4187369.000	-2785489.000	410.000
149257.969	1868334.875	411.000
1366040.875	-582749.375	412.000
-1330715.875	2496421.250	413.000
3074479.000	-689281.688	414.000
254529.156	-3792198.750	415.000
-1836328.750	-1596689.875	416.000
-1906153.750	-3977035.750	417.000
-2350635.750	1210148.750	418.000
-294664.875	-699335.750	419.000
-209013.156	-2391674.750	420.000
-134493.922	-3333087.000	421.000
-1376707.125	3315803.500	422.000
-1420273.125	2046007.750	423.000
2665901.750	763913.063	424.000
-841372.313	-645472.500	425.000
-1845121.375	-4918646.500	426.000
-2754506.500	117370.797	427.000
4364136.500	2816468.500	428.000
2576835.750	-3943400.750	429.000
746218.938	-2055457.875	430.000
3215655.750	67435.445	431.000
-2406295.750	-2217820.000	432.000
-1705232.000	1103724.750	433.000
438910.719	2292789.750	434.000
140928.984	-1258333.750	435.000
372728.094	1234873.875	436.000
1304585.125	32053.680	437.000
3480405.250	259032.125	438.000
232976.656	973042.000	439.000
1966296.500	365495.969	440.000
2559557.750	-338420.906	441.000
-2150060.000	-7699.862	442.000
283440.219	269873.813	443.000
1716336.250	3441557.250	444.000
